# 3D Systems, Inc.
# New Model
1025.4226726 -638.3847704 -565.7041417
1025.4614504 -638.3847704 -565.6837241
1025.5000618 -638.3847704 -565.6629944
1025.5384996 -638.3847704 -565.6419456
1025.5767568 -638.3847704 -565.6205712
1026.1063849 -638.3847704 -566.3065815
1026.1504612 -638.3847704 -566.2869222
1026.1986945 -638.3847704 -566.2847899
1026.2463371 -638.3847704 -566.2925670
1025.8814956 -638.3847704 -566.2384485
1025.9161463 -638.3847704 -566.2644534
1025.7630552 -638.3847704 -566.1869858
1025.8043786 -638.3847704 -566.1996732
1025.8440684 -638.3847704 -566.2167879
1025.6345950 -638.3847704 -566.1705685
1025.6777719 -638.3847704 -566.1730645
1025.7206965 -638.3847704 -566.1783148
1026.2170572 -638.3847704 -566.1634004
1026.2387818 -638.3847704 -566.1253588
1026.4182442 -638.3847704 -566.1173079
1026.2634646 -638.3847704 -566.0891662
1026.2908058 -638.3847704 -566.0549354
1026.3205265 -638.3847704 -566.0227459
1026.3523729 -638.3847704 -565.9926545
1026.3861168 -638.3847704 -565.9647048
1026.4215545 -638.3847704 -565.9389345
1025.6148266 -638.3847704 -565.5988655
1025.6527023 -638.3847704 -565.5768235
1025.6903773 -638.3847704 -565.5544409
1025.7278456 -638.3847704 -565.5317141
1025.7651021 -638.3847704 -565.5086403
1025.8021660 -638.3847704 -565.4852554
1025.8391003 -638.3847704 -565.4616655
1025.8759743 -638.3847704 -565.4379812
1025.9128575 -638.3847704 -565.4143110
1025.9498183 -638.3847704 -565.3907625
1025.9869238 -638.3847704 -565.3674428
1026.0242382 -638.3847704 -565.3444597
1026.0618226 -638.3847704 -565.3219220
1026.0997340 -638.3847704 -565.2999399
1026.1380235 -638.3847704 -565.2786231
1026.1767023 -638.3847704 -565.2580189
1026.2157345 -638.3847704 -565.2380917
1026.2550847 -638.3847704 -565.2187991
1026.2947199 -638.3847704 -565.2000986
1026.3346098 -638.3847704 -565.1819471
1026.3747264 -638.3847704 -565.1643016
1026.4150437 -638.3847704 -565.1471191
1026.4843590 -638.3847704 -566.2937365
1026.4948869 -638.3847704 -566.2878313
1026.5279965 -638.3847704 -566.3063131
1026.4433111 -638.3847704 -566.2682555
1026.4524807 -638.3847704 -566.2688916
1026.5180208 -638.3847704 -566.2655784
1026.5184043 -638.3847704 -566.2714170
1026.4693537 -638.3847704 -566.1888011
1026.4708895 -638.3847704 -566.1889831
1026.4964879 -638.3847704 -566.2283427
1026.4435383 -638.3847704 -566.1522621
1026.4440191 -638.3847704 -566.1510927
1026.4585035 -638.3847704 -565.9153811
1026.4967987 -638.3847704 -565.8940864
1026.5362886 -638.3847704 -565.8750999
1026.5768309 -638.3847704 -565.8584809
1026.6182881 -638.3847704 -565.8443004
1026.6605230 -638.3847704 -565.8326422
1026.7033942 -638.3847704 -565.8236026
1026.7467506 -638.3847704 -565.8172902
1026.7885680 -638.3847704 -565.7743621
1026.8137515 -638.3847704 -565.7341500
1026.8385064 -638.3847704 -565.6925649
1026.8128272 -638.3847704 -565.6556743
1026.7698314 -638.3847704 -565.6130497
1026.7815066 -638.3847704 -565.5691485
1026.7908225 -638.3847704 -565.5246038
1026.7979958 -638.3847704 -565.4796296
1026.8031594 -638.3847704 -565.4343668
1026.8063844 -638.3847704 -565.3889203
1026.8076930 -638.3847704 -565.3433792
1026.8070671 -638.3847704 -565.2978285
1026.8044531 -638.3847704 -565.2523565
1026.7997630 -638.3847704 -565.2070613
1026.4555376 -638.3847704 -565.1303565
1026.7928755 -638.3847704 -565.1620574
1026.4961856 -638.3847704 -565.1139708
1026.5369654 -638.3847704 -565.0979192
